,value,unit,serialNumber
2020-10-13 18:42:13+00:00,0,%,00158D000192D255
2020-10-13 18:57:13+00:00,0,%,00158D000192D255
2020-10-13 19:12:13+00:00,0,%,00158D000192D255
2020-10-13 19:27:13+00:00,0,%,00158D000192D255
2020-10-13 19:42:13+00:00,0,%,00158D000192D255
2020-10-13 19:57:13+00:00,0,%,00158D000192D255
2020-10-13 20:12:14+00:00,0,%,00158D000192D255
2020-10-13 20:27:14+00:00,0,%,00158D000192D255
2020-10-13 20:28:22+00:00,4,%,00158D000192D255
2020-10-13 20:42:14+00:00,4,%,00158D000192D255
2020-10-13 20:57:14+00:00,4,%,00158D000192D255
2020-10-13 21:12:14+00:00,4,%,00158D000192D255
2020-10-13 21:22:47+00:00,9,%,00158D000192D255
2020-10-13 21:24:47+00:00,6,%,00158D000192D255
2020-10-13 21:27:14+00:00,6,%,00158D000192D255
2020-10-13 21:34:52+00:00,10,%,00158D000192D255
2020-10-13 21:42:14+00:00,10,%,00158D000192D255
2020-10-13 21:57:14+00:00,10,%,00158D000192D255
2020-10-13 22:12:14+00:00,10,%,00158D000192D255
2020-10-13 22:21:17+00:00,15,%,00158D000192D255
2020-10-13 22:23:17+00:00,11,%,00158D000192D255
2020-10-13 22:27:14+00:00,11,%,00158D000192D255
2020-10-13 22:27:20+00:00,15,%,00158D000192D255
2020-10-13 22:42:14+00:00,15,%,00158D000192D255
2020-10-13 22:56:53+00:00,15,%,00158D000192D255
2020-10-13 22:57:39+00:00,15,%,00158D000192D255
2020-10-13 23:05:36+00:00,20,%,00158D000192D255
2020-10-13 23:12:39+00:00,20,%,00158D000192D255
2020-10-13 23:27:39+00:00,20,%,00158D000192D255
2020-10-13 23:37:52+00:00,24,%,00158D000192D255
2020-10-13 23:42:39+00:00,24,%,00158D000192D255
2020-10-13 23:57:39+00:00,24,%,00158D000192D255
2020-10-14 00:12:39+00:00,24,%,00158D000192D255
2020-10-14 00:16:13+00:00,28,%,00158D000192D255
2020-10-14 00:20:13+00:00,24,%,00158D000192D255
2020-10-14 00:24:16+00:00,29,%,00158D000192D255
2020-10-14 00:27:39+00:00,29,%,00158D000192D255
