,value,unit,serialNumber
2020-03-07 16:00:59+00:00,19,C,00158D000192D255
2020-03-07 16:15:59+00:00,19,C,00158D000192D255
2020-03-07 16:31:00+00:00,19,C,00158D000192D255
2020-03-07 16:46:00+00:00,19,C,00158D000192D255
2020-03-07 17:01:00+00:00,19,C,00158D000192D255
2020-03-07 17:16:00+00:00,19,C,00158D000192D255
2020-03-07 17:31:00+00:00,19,C,00158D000192D255
2020-03-07 17:46:00+00:00,19,C,00158D000192D255
2020-03-07 18:01:00+00:00,19,C,00158D000192D255
2020-03-07 18:16:00+00:00,19,C,00158D000192D255
2020-03-07 18:31:00+00:00,19,C,00158D000192D255
2020-03-07 18:46:00+00:00,19,C,00158D000192D255
2020-03-07 19:01:00+00:00,19,C,00158D000192D255
2020-03-07 19:16:00+00:00,19,C,00158D000192D255
2020-03-07 19:31:00+00:00,19,C,00158D000192D255
2020-03-07 19:46:00+00:00,19,C,00158D000192D255
2020-03-07 20:01:00+00:00,19,C,00158D000192D255
2020-03-07 20:16:00+00:00,19,C,00158D000192D255
2020-03-07 20:31:00+00:00,19,C,00158D000192D255
2020-03-07 20:46:00+00:00,19,C,00158D000192D255
2020-03-07 21:01:00+00:00,19,C,00158D000192D255
2020-03-07 21:16:00+00:00,19,C,00158D000192D255
2020-03-07 21:31:00+00:00,19,C,00158D000192D255
2020-03-07 21:46:00+00:00,19,C,00158D000192D255
2020-03-07 22:01:00+00:00,19,C,00158D000192D255
2020-03-07 22:16:00+00:00,19,C,00158D000192D255
2020-03-07 22:31:00+00:00,19,C,00158D000192D255
2020-03-07 22:46:00+00:00,19,C,00158D000192D255
2020-03-07 23:01:00+00:00,19,C,00158D000192D255
2020-03-07 23:16:00+00:00,19,C,00158D000192D255
2020-03-07 23:31:00+00:00,19,C,00158D000192D255
2020-03-07 23:46:00+00:00,19,C,00158D000192D255
2020-03-08 00:01:00+00:00,19,C,00158D000192D255
2020-03-08 00:16:00+00:00,19,C,00158D000192D255
2020-03-08 00:31:00+00:00,19,C,00158D000192D255
2020-03-08 00:46:00+00:00,19,C,00158D000192D255
2020-03-08 01:01:00+00:00,19,C,00158D000192D255
2020-03-08 01:16:00+00:00,19,C,00158D000192D255
2020-03-08 01:31:00+00:00,19,C,00158D000192D255
2020-03-08 01:46:00+00:00,19,C,00158D000192D255
2020-03-08 02:01:00+00:00,19,C,00158D000192D255
2020-03-08 02:16:00+00:00,19,C,00158D000192D255
2020-03-08 02:31:00+00:00,19,C,00158D000192D255
2020-03-08 02:46:00+00:00,19,C,00158D000192D255
2020-03-08 03:01:00+00:00,19,C,00158D000192D255
2020-03-08 03:16:00+00:00,19,C,00158D000192D255
2020-03-08 03:31:00+00:00,19,C,00158D000192D255
2020-03-08 03:46:00+00:00,19,C,00158D000192D255
2020-03-08 04:01:00+00:00,19,C,00158D000192D255
2020-03-08 04:16:00+00:00,19,C,00158D000192D255
2020-03-08 04:31:00+00:00,19,C,00158D000192D255
2020-03-08 04:46:00+00:00,19,C,00158D000192D255
2020-03-08 05:01:00+00:00,19,C,00158D000192D255
2020-03-08 05:16:00+00:00,19,C,00158D000192D255
2020-03-08 05:31:00+00:00,19,C,00158D000192D255
2020-03-08 05:46:00+00:00,19,C,00158D000192D255
2020-03-08 06:01:00+00:00,19,C,00158D000192D255
2020-03-08 06:16:00+00:00,19,C,00158D000192D255
2020-03-08 06:31:00+00:00,19,C,00158D000192D255
2020-03-08 06:46:00+00:00,19,C,00158D000192D255
2020-03-08 07:01:00+00:00,19,C,00158D000192D255
2020-03-08 07:16:00+00:00,19,C,00158D000192D255
2020-03-08 07:31:00+00:00,19,C,00158D000192D255
2020-03-08 07:46:01+00:00,19,C,00158D000192D255
2020-03-08 08:01:01+00:00,19,C,00158D000192D255
2020-03-08 08:16:01+00:00,19,C,00158D000192D255
2020-03-08 08:31:01+00:00,19,C,00158D000192D255
2020-03-08 08:46:01+00:00,19,C,00158D000192D255
2020-03-08 09:01:01+00:00,19,C,00158D000192D255
2020-03-08 09:16:01+00:00,19,C,00158D000192D255
2020-03-08 09:31:01+00:00,19,C,00158D000192D255
2020-03-08 09:46:01+00:00,19,C,00158D000192D255
2020-03-08 10:01:01+00:00,19,C,00158D000192D255
2020-03-08 10:16:01+00:00,19,C,00158D000192D255
2020-03-08 10:31:01+00:00,19,C,00158D000192D255
2020-03-08 10:46:01+00:00,19,C,00158D000192D255
2020-03-08 11:01:01+00:00,19,C,00158D000192D255
2020-03-08 11:16:01+00:00,19,C,00158D000192D255
2020-03-08 11:31:01+00:00,19,C,00158D000192D255
2020-03-08 11:46:01+00:00,19,C,00158D000192D255
2020-03-08 12:01:01+00:00,19,C,00158D000192D255
2020-03-08 12:16:01+00:00,19,C,00158D000192D255
2020-03-08 12:31:01+00:00,19,C,00158D000192D255
2020-03-08 12:46:01+00:00,19,C,00158D000192D255
2020-03-08 13:01:01+00:00,19,C,00158D000192D255
2020-03-08 13:16:01+00:00,19,C,00158D000192D255
2020-03-08 13:31:01+00:00,19,C,00158D000192D255
2020-03-08 13:46:01+00:00,19,C,00158D000192D255
2020-03-08 14:01:01+00:00,19,C,00158D000192D255
2020-03-08 14:16:01+00:00,19,C,00158D000192D255
2020-03-08 14:31:01+00:00,19,C,00158D000192D255
2020-03-08 14:46:01+00:00,19,C,00158D000192D255
2020-03-08 15:01:01+00:00,19,C,00158D000192D255
2020-03-08 15:16:01+00:00,19,C,00158D000192D255
2020-03-08 15:31:01+00:00,19,C,00158D000192D255
2020-03-08 15:46:01+00:00,19,C,00158D000192D255
2020-03-08 16:01:01+00:00,19,C,00158D000192D255
2020-03-08 16:16:01+00:00,19,C,00158D000192D255
2020-03-08 16:31:01+00:00,19,C,00158D000192D255
2020-03-08 16:46:01+00:00,19,C,00158D000192D255
2020-03-08 17:01:01+00:00,19,C,00158D000192D255
2020-03-08 17:16:01+00:00,19,C,00158D000192D255
2020-03-08 17:31:01+00:00,19,C,00158D000192D255
2020-03-08 17:46:01+00:00,19,C,00158D000192D255
2020-03-08 18:01:01+00:00,19,C,00158D000192D255
2020-03-08 18:16:01+00:00,19,C,00158D000192D255
2020-03-08 18:31:01+00:00,19,C,00158D000192D255
